Name,URL,Rating,Notes,Detektiiif,InViewer,IIIFLink,IIIFLogo,DragDrop,Comment,Acad Tech,Latitude,Longitude
"Chicago, University of",https://www.lib.uchicago.edu/collex/?digital=on&view=collections,0,,,,,,,,https://academictech.uchicago.edu/teaching-tools/,,
Cornell University,https://digital.library.cornell.edu/catalog/ss:34207883,0,no iiif,,,,,,,https://teaching.cornell.edu/learning-technologies,,
Dartmouth University,https://www.library.dartmouth.edu/digital/digital-collections,0,really hard to figure out,,,,,,,https://sites.dartmouth.edu/ldi/about-us/who-we-are/,,
Georgetown University,https://library.georgetown.edu/digitalgeorgetown,0,only in UV,,1,,,1,,https://cndls.georgetown.edu/about/people/,,
"Georgia, University of",https://www.libs.uga.edu/scl/exhibits/digital,0,,,,,,,,https://ctl.uga.edu/learning-technologies/learning-glass/,,
"Kentucky, University of",https://exploreuk.uky.edu/,0,,,,,,,,,,
McGill University,https://www.mcgill.ca/library/find/digitization/digitalimagecollections,0,,,,,,,,,-73.5783235,45.5060184
"Pittsburgh, University of",,0,,,,,,,,https://teaching.pitt.edu/,,
Smithsonian Library,https:/library.si.edu/collections,0,,,,,,,,,,
Smithsonian National Air and Space Museum,https://airandspace.si.edu/edan/search/browse_object_groups,0,,,,,,,,,-77.0198679,38.8881601
"Tennessee, University of",https://digital.lib.utk.edu/collections/,0,only for some items - mixed bag,,,,,,,,-83.9294564,35.9544013
Universiteit Gent - Campus Dunant,https://lib.ugent.be/en/catalog/access:zoomable?sort=old-to-new,0,,,,,,,,,3.7036509,51.0489744
Vanderbilt University,,0,,,,,,,,https://www.vanderbilt.edu/advanced-institute/,,
"Virginia, University of",,0,,,,,,,,https://cte.virginia.edu/,,
The Revolutionary City,https://therevolutionarycity.org,2,,,1,,,,,,,
American Philosophical Society,https://diglib.amphilsoc.org/,0,only uses image API,,,,,,,,,
